gen_id,durum
BSU23260,cikarildi_gereksiz
BSU03610,cikarildi_gereksiz
BSU18540,cikarildi_gereksiz
BSU30210,cikarildi_gereksiz
BSU27450,cikarildi_gereksiz
BSU25580,cikarildi_gereksiz
BSU03600,cikarildi_gereksiz
BSU27440,cikarildi_gereksiz
BSU22090,cikarildi_gereksiz
BSU09410,cikarildi_gereksiz
BSU03590,cikarildi_gereksiz
BSU22110,cikarildi_gereksiz
BSU12330,cikarildi_gereksiz
BSU00150,cikarildi_gereksiz
BSU13120,cikarildi_gereksiz
BSU18470,cikarildi_gereksiz
BSU32000,cikarildi_gereksiz
BSU31930,cikarildi_gereksiz
BSU31980,cikarildi_gereksiz
BSU22960,cikarildi_gereksiz
BSU02420,cikarildi_gereksiz
BSU18120,cikarildi_gereksiz
BSU27810,cikarildi_gereksiz
BSU09530,cikarildi_gereksiz
BSU39780,cikarildi_gereksiz
BSU26970,cikarildi_gereksiz
BSU12940,cikarildi_gereksiz
BSU27010,cikarildi_gereksiz
BSU12950,cikarildi_gereksiz
BSU32410,cikarildi_gereksiz
BSU12960,cikarildi_gereksiz
BSU12930,cikarildi_gereksiz
BSU12390,cikarildi_gereksiz
BSU22130,cikarildi_gereksiz
BSU22140,cikarildi_gereksiz
BSU01530,cikarildi_gereksiz
BSU13620,cikarildi_gereksiz
BSU13590,cikarildi_gereksiz
BSU25900,cikarildi_gereksiz
BSU35620,cikarildi_gereksiz
BSU29060,cikarildi_gereksiz
BSU25710,cikarildi_gereksiz
BSU15110,cikarildi_gereksiz
BSU17410,cikarildi_gereksiz
BSU35920,cikarildi_gereksiz
BSU30230,cikarildi_gereksiz
BSU37790,cikarildi_gereksiz
BSU14830,cikarildi_gereksiz
BSU39420,cikarildi_gereksiz
BSU02430,cikarildi_gereksiz
BSU25790,cikarildi_gereksiz
BSU30220,cikarildi_gereksiz
BSU37060,cikarildi_gereksiz
BSU26810,cikarildi_gereksiz
BSU39400,cikarildi_gereksiz
BSU17660,cikarildi_gereksiz
BSU18450,cikarildi_gereksiz
BSU23280,cikarildi_gereksiz
BSU20020,cikarildi_gereksiz
BSU18440,cikarildi_gereksiz
BSU28170,cikarildi_gereksiz
BSU33400,cikarildi_gereksiz
BSU18220,cikarildi_gereksiz
BSU29050,cikarildi_gereksiz
BSU00920,cikarildi_gereksiz
BSU02340,cikarildi_gereksiz
BSU28540,cikarildi_gereksiz
BSU28800,cikarildi_gereksiz
BSU22100,cikarildi_gereksiz
BSU39270,cikarildi_gereksiz
BSU10220,cikarildi_gereksiz
BSU39450,cikarildi_gereksiz
BSU09130,cikarildi_gereksiz
BSU28740,cikarildi_gereksiz
BSU28750,cikarildi_gereksiz
BSU14390,cikarildi_gereksiz
BSU28730,cikarildi_gereksiz
BSU04340,cikarildi_gereksiz
BSU18250,cikarildi_gereksiz
BSU02140,cikarildi_gereksiz
BSU33960,cikarildi_gereksiz
BSU10270,cikarildi_gereksiz
BSU14630,cikarildi_gereksiz
BSU28560,cikarildi_gereksiz
BSU17000,cikarildi_gereksiz
BSU40040,cikarildi_gereksiz
BSU40320,cikarildi_gereksiz
BSU37120,cikarildi_gereksiz
BSU34190,cikarildi_gereksiz
BSU03060,cikarildi_gereksiz
BSU40190,cikarildi_gereksiz
BSU23960,cikarildi_gereksiz
BSU10130,cikarildi_gereksiz
BSU09280,cikarildi_gereksiz
BSU23970,cikarildi_gereksiz
BSU23980,cikarildi_gereksiz
BSU12160,cikarildi_gereksiz
BSU33330,cikarildi_gereksiz
BSU40330,cikarildi_gereksiz
BSU32130,cikarildi_gereksiz
BSU36710,cikarildi_gereksiz
BSU18570,cikarildi_gereksiz
BSU40060,cikarildi_gereksiz
BSU02130,cikarildi_gereksiz
BSU37760,cikarildi_gereksiz
BSU27220,cikarildi_gereksiz
BSU08860,cikarildi_gereksiz
BSU33800,cikarildi_gereksiz
BSU21900,cikarildi_gereksiz
BSU01620,cikarildi_gereksiz
BSU27600,cikarildi_gereksiz
BSU13170,cikarildi_gereksiz
BSU33830,cikarildi_gereksiz
BSU01610,cikarildi_gereksiz
BSU01630,cikarildi_gereksiz
BSU38280,cikarildi_gereksiz
BSU03000,cikarildi_gereksiz
BSU02990,cikarildi_gereksiz
BSU33820,cikarildi_gereksiz
BSU00680,cikarildi_gereksiz
BSU06370,cikarildi_gereksiz
BSU38260,cikarildi_gereksiz
BSU33810,cikarildi_gereksiz
BSU38270,cikarildi_gereksiz
BSU02980,cikarildi_gereksiz
BSU29990,cikarildi_gereksiz
BSU12300,cikarildi_gereksiz
BSU32840,cikarildi_gereksiz
BSU30070,cikarildi_gereksiz
BSU05340,cikarildi_gereksiz
BSU24160,cikarildi_gereksiz
BSU14870,cikarildi_gereksiz
BSU33320,cikarildi_gereksiz
BSU14880,cikarildi_gereksiz
BSU36030,cikarildi_gereksiz
BSU03800,cikarildi_gereksiz
BSU23580,cikarildi_gereksiz
BSU07500,cikarildi_gereksiz
BSU39920,cikarildi_gereksiz
BSU12080,cikarildi_gereksiz
BSU38300,cikarildi_gereksiz
BSU33290,cikarildi_gereksiz
BSU10790,cikarildi_gereksiz
BSU03810,cikarildi_gereksiz
BSU07510,cikarildi_gereksiz
BSU33510,cikarildi_gereksiz
BSU03820,cikarildi_gereksiz
BSU22410,cikarildi_gereksiz
BSU03830,cikarildi_gereksiz
BSU07520,cikarildi_gereksiz
BSU07990,cikarildi_gereksiz
BSU33300,cikarildi_gereksiz
BSU39350,cikarildi_gereksiz
BSU03790,cikarildi_gereksiz
BSU31610,cikarildi_gereksiz
BSU28470,cikarildi_gereksiz
BSU31650,cikarildi_gereksiz
BSU31322,cikarildi_gereksiz
BSU39390,cikarildi_gereksiz
BSU28510,cikarildi_gereksiz
BSU02400,cikarildi_gereksiz
BSU28720,cikarildi_gereksiz
BSU37710,cikarildi_gereksiz
BSU13600,cikarildi_gereksiz
BSU28150,cikarildi_gereksiz
BSU23570,cikarildi_gereksiz
BSU34130,cikarildi_gereksiz
BSU17150,cikarildi_gereksiz
BSU06980,cikarildi_gereksiz
BSU18230,cikarildi_gereksiz
BSU06970,cikarildi_gereksiz
BSU38020,cikarildi_gereksiz
BSU06990,cikarildi_gereksiz
BSU11710,cikarildi_gereksiz
BSU03050,cikarildi_gereksiz
BSU13960,cikarildi_gereksiz
BSU37780,cikarildi_gereksiz
BSU19690,cikarildi_gereksiz
BSU00270,cikarildi_gereksiz
BSU10870,cikarildi_gereksiz
BSU22620,cikarildi_gereksiz
BSU03990,cikarildi_gereksiz
BSU08180,cikarildi_gereksiz
BSU35780,cikarildi_gereksiz
BSU34560,cikarildi_gereksiz
BSU40850,cikarildi_gereksiz
BSU13730,cikarildi_gereksiz
BSU31990,cikarildi_gereksiz
BSU34140,cikarildi_gereksiz
BSU15020,cikarildi_gereksiz
BSU34610,cikarildi_gereksiz
BSU31970,cikarildi_gereksiz
BSU34150,cikarildi_gereksiz
BSU23490,cikarildi_gereksiz
BSU30280,cikarildi_gereksiz
BSU19630,cikarildi_gereksiz
BSU03070,cikarildi_gereksiz
BSU34590,cikarildi_gereksiz
BSU34600,cikarildi_gereksiz
BSU34160,cikarildi_gereksiz
BSU30290,cikarildi_gereksiz
BSU00110,cikarildi_gereksiz
BSU38550,cikarildi_gereksiz
BSU30270,cikarildi_gereksiz
BSU08200,cikarildi_gereksiz
BSU29600,cikarildi_gereksiz
BSU00120,cikarildi_gereksiz
BSU23560,cikarildi_gereksiz
BSU31580,cikarildi_gereksiz
BSU35790,cikarildi_gereksiz
BSU39980,cikarildi_gereksiz
BSU26700,cikarildi_gereksiz
BSU12020,cikarildi_gereksiz
BSU26690,cikarildi_gereksiz
BSU26710,cikarildi_gereksiz
BSU12010,cikarildi_gereksiz
BSU24130,cikarildi_gereksiz
BSU39700,cikarildi_gereksiz
BSU29300,cikarildi_gereksiz
BSU24140,cikarildi_gereksiz
BSU23270,cikarildi_gereksiz
BSU00180,cikarildi_gereksiz
BSU39720,cikarildi_gereksiz
BSU23250,cikarildi_gereksiz
BSU29120,cikarildi_gereksiz
BSU28790,cikarildi_gereksiz
BSU39750,cikarildi_gereksiz
BSU13610,cikarildi_gereksiz
BSU39730,cikarildi_gereksiz
BSU28780,cikarildi_gereksiz
BSU04000,cikarildi_gereksiz
BSU39740,cikarildi_gereksiz
BSU29220,cikarildi_gereksiz
BSU06230,cikarildi_gereksiz
BSU39710,cikarildi_gereksiz
BSU31180,cikarildi_gereksiz
BSU31200,cikarildi_gereksiz
BSU22870,cikarildi_gereksiz
BSU16530,cikarildi_gereksiz
BSU29380,cikarildi_gereksiz
BSU29350,cikarildi_gereksiz
BSU39370,cikarildi_gereksiz
BSU29360,cikarildi_gereksiz
