gen_id,senaryo,growth,wt_buyume,oran,status,esansiyel
BSU17390,Dunya_referans,0.0,0.11796638932331782,0.0,optimal,True
BSU19800,Dunya_referans,0.11796638932239972,0.11796638932331782,0.9999999999922173,optimal,False
BSU30550,Dunya_referans,0.11796638932239954,0.11796638932331782,0.9999999999922158,optimal,False
BSU19310,Dunya_referans,0.11796638932239954,0.11796638932331782,0.9999999999922158,optimal,False
BSU12020,Dunya_referans,0.11796638932239954,0.11796638932331782,0.9999999999922158,optimal,False
BSU31610,Dunya_referans,0.11796638932239954,0.11796638932331782,0.9999999999922158,optimal,False
BSU03200,Dunya_referans,0.11796638932239954,0.11796638932331782,0.9999999999922158,optimal,False
BSU06440,Dunya_referans,-2.023084761862835e-14,0.11796638932331782,-1.714967096532929e-13,optimal,True
BSU10120,Dunya_referans,0.11796638932239924,0.11796638932331782,0.9999999999922131,optimal,False
BSU13590,Dunya_referans,0.1179663893223998,0.11796638932331782,0.999999999992218,optimal,False
BSU22620,Dunya_referans,0.11796638932239835,0.11796638932331782,0.9999999999922057,optimal,False
BSU03990,Dunya_referans,0.11796638932239835,0.11796638932331782,0.9999999999922057,optimal,False
BSU28260,Dunya_referans,0.0,0.11796638932331782,0.0,optimal,True
BSU04340,Dunya_referans,0.11796634917181492,0.11796638932331782,0.9999996596360783,optimal,False
BSU39050,Dunya_referans,0.11796638932239993,0.11796638932331782,0.999999999992219,optimal,False
BSU06160,Dunya_referans,0.11796638932239993,0.11796638932331782,0.999999999992219,optimal,False
BSU38550,Dunya_referans,0.11796638932239993,0.11796638932331782,0.999999999992219,optimal,False
BSU35920,Dunya_referans,0.11796638932239993,0.11796638932331782,0.999999999992219,optimal,False
BSU07510,Dunya_referans,0.11796638932239993,0.11796638932331782,0.999999999992219,optimal,False
BSU24060,Dunya_referans,5.79881004905924e-17,0.11796638932331782,4.915645958414546e-16,optimal,True
BSU34590,Dunya_referans,0.11796638932239793,0.11796638932331782,0.9999999999922021,optimal,False
BSU33420,Dunya_referans,0.11796638932239702,0.11796638932331782,0.9999999999921944,optimal,False
BSU07830,Dunya_referans,0.11796638932239702,0.11796638932331782,0.9999999999921944,optimal,False
BSU22700,Dunya_referans,2.2880556577520234e-16,0.11796638932331782,1.9395826818781466e-15,optimal,True
BSU14590,Dunya_referans,0.11380639028893014,0.11796638932331782,0.964735726351799,optimal,False
BSU33490,Dunya_referans,0.11796638932239703,0.11796638932331782,0.9999999999921945,optimal,False
BSU22760,Dunya_referans,7.638041003127811e-17,0.11796638932331782,6.474760350758686e-16,optimal,True
BSU38590,Dunya_referans,0.11796638932239802,0.11796638932331782,0.9999999999922028,optimal,False
BSU03270,Dunya_referans,0.11796638932239882,0.11796638932331782,0.9999999999922097,optimal,False
BSU02140,Dunya_referans,0.11796638932239882,0.11796638932331782,0.9999999999922097,optimal,False
BSU39750,Dunya_referans,0.11796638932239882,0.11796638932331782,0.9999999999922097,optimal,False
BSU03150,Dunya_referans,-5.541996763056083e-17,0.11796638932331782,-4.697945571485441e-16,optimal,True
BSU22630,Dunya_referans,0.0,0.11796638932331782,0.0,optimal,True
BSU31760,Dunya_referans,0.1179663893223967,0.11796638932331782,0.9999999999921917,optimal,False
BSU15230,Dunya_referans,-1.5294491291969358e-16,0.11796638932331782,-1.2965126236127135e-15,optimal,True
BSU32460,Dunya_referans,0.1179663893223991,0.11796638932331782,0.999999999992212,optimal,False
BSU33180,Dunya_referans,0.11796638932239882,0.11796638932331782,0.9999999999922097,optimal,False
BSU32480,Dunya_referans,0.11796638932239882,0.11796638932331782,0.9999999999922097,optimal,False
BSU37110,Dunya_referans,0.11794480804789842,0.11796638932331782,0.9998170557262692,optimal,False
BSU29710,Dunya_referans,0.11796638932240051,0.11796638932331782,0.999999999992224,optimal,False
BSU38760,Dunya_referans,0.11796638932240223,0.11796638932331782,0.9999999999922385,optimal,False
BSU21770,Dunya_referans,0.11796638932240223,0.11796638932331782,0.9999999999922385,optimal,False
BSU23270,Dunya_referans,0.11796638932240223,0.11796638932331782,0.9999999999922385,optimal,False
BSU25020,Dunya_referans,0.11796638932240223,0.11796638932331782,0.9999999999922385,optimal,False
BSU09840,Dunya_referans,0.11796638932240223,0.11796638932331782,0.9999999999922385,optimal,False
BSU36370,Dunya_referans,0.11796638932240223,0.11796638932331782,0.9999999999922385,optimal,False
BSU02420,Dunya_referans,0.11796638932240223,0.11796638932331782,0.9999999999922385,optimal,False
BSU00110,Dunya_referans,0.11796638932240223,0.11796638932331782,0.9999999999922385,optimal,False
BSU30710,Dunya_referans,0.11796638932240223,0.11796638932331782,0.9999999999922385,optimal,False
BSU24070,Dunya_referans,0.11796638932240223,0.11796638932331782,0.9999999999922385,optimal,False
BSU31060,Dunya_referans,0.11796638932240223,0.11796638932331782,0.9999999999922385,optimal,False
BSU02340,Dunya_referans,0.11796638932240223,0.11796638932331782,0.9999999999922385,optimal,False
BSU04470,Dunya_referans,0.11796638932240223,0.11796638932331782,0.9999999999922385,optimal,False
BSU04000,Dunya_referans,0.11796638932240223,0.11796638932331782,0.9999999999922385,optimal,False
BSU30200,Dunya_referans,0.11796638932240223,0.11796638932331782,0.9999999999922385,optimal,False
BSU26970,Dunya_referans,0.11796638932240223,0.11796638932331782,0.9999999999922385,optimal,False
BSU31150,Dunya_referans,-5.098163763989787e-17,0.11796638932331782,-4.3217087453757124e-16,optimal,True
BSU05340,Dunya_referans,0.11796638932239951,0.11796638932331782,0.9999999999922156,optimal,False
BSU33300,Dunya_referans,0.11796638932239882,0.11796638932331782,0.9999999999922097,optimal,False
BSU06310,Dunya_referans,0.11796638932239882,0.11796638932331782,0.9999999999922097,optimal,False
BSU09300,Dunya_referans,0.11796638932239882,0.11796638932331782,0.9999999999922097,optimal,False
BSU26650,Dunya_referans,0.11796638932239882,0.11796638932331782,0.9999999999922097,optimal,False
BSU27430,Dunya_referans,0.11796638932239882,0.11796638932331782,0.9999999999922097,optimal,False
BSU26690,Dunya_referans,0.11796638932239882,0.11796638932331782,0.9999999999922097,optimal,False
BSU36760,Dunya_referans,0.11796638932239882,0.11796638932331782,0.9999999999922097,optimal,False
BSU19710,Dunya_referans,0.11796638932239882,0.11796638932331782,0.9999999999922097,optimal,False
BSU33710,Dunya_referans,0.11796638932239882,0.11796638932331782,0.9999999999922097,optimal,False
BSU28280,Dunya_referans,1.7181218005105809e-16,0.11796638932331782,1.4564502739857686e-15,optimal,True
BSU24160,Dunya_referans,0.11796638932239782,0.11796638932331782,0.9999999999922011,optimal,False
BSU28430,Dunya_referans,0.10427271062349817,0.11796638932331782,0.8839188112955756,optimal,False
BSU29190,Dunya_referans,0.10873127909269274,0.11796638932331782,0.921714055303381,optimal,False
BSU38240,Dunya_referans,0.11796638932240025,0.11796638932331782,0.9999999999922218,optimal,False
BSU39390,Dunya_referans,0.11796638932239832,0.11796638932331782,0.9999999999922055,optimal,False
BSU28470,Dunya_referans,0.11796638932239832,0.11796638932331782,0.9999999999922055,optimal,False
BSU02350,Dunya_referans,0.11796638932239832,0.11796638932331782,0.9999999999922055,optimal,False
BSU13910,Dunya_referans,0.11638979449654886,0.11796638932331782,0.9866352201180975,optimal,False
BSU01680,Dunya_referans,0.11796638932239632,0.11796638932331782,0.9999999999921885,optimal,False
BSU30820,Dunya_referans,1.1459946014929895e-16,0.11796638932331782,9.714585722820514e-16,optimal,True
BSU02750,Dunya_referans,0.11796638932239972,0.11796638932331782,0.9999999999922173,optimal,False
BSU32130,Dunya_referans,0.11796638932239735,0.11796638932331782,0.9999999999921971,optimal,False
BSU22650,Dunya_referans,9.914780641741542e-19,0.11796638932331782,8.404750453595292e-18,optimal,True
BSU29440,Dunya_referans,0.0,0.11796638932331782,0.0,optimal,True
BSU33330,Dunya_referans,0.11796638932239908,0.11796638932331782,0.9999999999922119,optimal,False
BSU36890,Dunya_referans,0.11796638932240233,0.11796638932331782,0.9999999999922394,optimal,False
BSU22070,Dunya_referans,0.11796638932240233,0.11796638932331782,0.9999999999922394,optimal,False
BSU00270,Dunya_referans,0.11796638932239681,0.11796638932331782,0.9999999999921926,optimal,False
BSU08080,Dunya_referans,0.11796638932239681,0.11796638932331782,0.9999999999921926,optimal,False
BSU11210,Dunya_referans,2.850235709105134e-16,0.11796638932331782,2.416142195632788e-15,optimal,True
BSU08840,Dunya_referans,0.11796638932239908,0.11796638932331782,0.9999999999922119,optimal,False
BSU27610,Dunya_referans,0.11796638932239963,0.11796638932331782,0.9999999999922164,optimal,False
BSU15530,Dunya_referans,-7.638041003127812e-17,0.11796638932331782,-6.474760350758687e-16,optimal,True
BSU13600,Dunya_referans,0.11796638932240228,0.11796638932331782,0.9999999999922389,optimal,False
BSU36030,Dunya_referans,0.11796638932240126,0.11796638932331782,0.9999999999922303,optimal,False
BSU36660,Dunya_referans,0.11796638932240475,0.11796638932331782,0.9999999999922599,optimal,False
BSU27050,Dunya_referans,0.11796638932240475,0.11796638932331782,0.9999999999922599,optimal,False
BSU27060,Dunya_referans,0.11796638932240475,0.11796638932331782,0.9999999999922599,optimal,False
BSU03810,Dunya_referans,0.11796638932240475,0.11796638932331782,0.9999999999922599,optimal,False
BSU08200,Dunya_referans,0.11796638932240475,0.11796638932331782,0.9999999999922599,optimal,False
BSU36840,Dunya_referans,,0.11796638932331782,,infeasible,False
BSU01530,Dunya_referans,0.11796638932241957,0.11796638932331782,0.9999999999923855,optimal,False
BSU04740,Dunya_referans,-2.6348777940036747e-14,0.11796638932331782,-2.2335834885834313e-13,optimal,True
BSU37500,Dunya_referans,0.11796638932239417,0.11796638932331782,0.9999999999921703,optimal,False
BSU03000,Dunya_referans,0.11796638932239921,0.11796638932331782,0.9999999999922129,optimal,False
BSU22140,Dunya_referans,0.11796638932239921,0.11796638932331782,0.9999999999922129,optimal,False
BSU23080,Dunya_referans,1.4467367736489056e-16,0.11796638932331782,1.226397435699879e-15,optimal,True
BSU09680,Dunya_referans,0.11796638932239638,0.11796638932331782,0.9999999999921889,optimal,False
BSU18450,Dunya_referans,0.11796638932240051,0.11796638932331782,0.999999999992224,optimal,False
BSU15700,Dunya_referans,0.11796638932240051,0.11796638932331782,0.999999999992224,optimal,False
BSU32000,Dunya_referans,0.11796638932240051,0.11796638932331782,0.999999999992224,optimal,False
BSU07920,Dunya_referans,0.11796603868664074,0.11796638932331782,0.9999970276561053,optimal,False
BSU02390,Dunya_referans,0.11796638932239906,0.11796638932331782,0.9999999999922117,optimal,False
BSU13500,Dunya_referans,0.11796638932240051,0.11796638932331782,0.999999999992224,optimal,False
BSU23770,Dunya_referans,0.11796638932240051,0.11796638932331782,0.999999999992224,optimal,False
BSU35720,Dunya_referans,0.0,0.11796638932331782,0.0,optimal,True
BSU16920,Dunya_referans,0.0,0.11796638932331782,0.0,optimal,True
BSU07490,Dunya_referans,0.11796638932240058,0.11796638932331782,0.9999999999922246,optimal,False
