senaryo,tekli_silme_sayisi,gercek_minimal_sayisi,fark,indirgenmis_ag_buyume
Referans,148,224,76,0.017099357354851817
Mars_bakim_x1.5_orta,148,224,76,0.001786882843581361
Mars_bakim_x1.5_sert,148,224,76,0.0004257739981365571
Mars_bakim_x2.0_orta,148,224,76,0.0017868828435885448
Mars_bakim_x2.0_sert,148,224,76,0.0004257739981410979
Mars_bakim_x3.0_orta,148,224,76,0.0017868828435752525
Mars_bakim_x3.0_sert,148,224,76,0.0004257739981330353
